"Município","ibge","latitude","longitude","/Exportações/Total 2010 (US$ FOB)","/Exportações/Total 2011 (US$ FOB)","/Exportações/Total 2012 (US$ FOB)","/Exportações/Total 2013 (US$ FOB)","/Exportações/Total 2014 (US$ FOB)","/Exportações/Total 2015 (US$ FOB)","/Exportações/Total 2016 (US$ FOB)","/Exportações/Total 2017 (US$ FOB)","/Exportações/Total 2018 (US$ FOB)","/Exportações/Total 2019 (US$ FOB)","/Exportações/Total 2020 (US$ FOB)","/Exportações/Total 2021 (US$ FOB)"
"Estação","4307559","-27.913499999990","-52.263500000000","10.299","98.994","11.521","4.635","-","-","79.246","734.826","770.388","374.205","20.940","440.041"
"Estância Velha","4307609","-29.653500000000","-51.184300000000","110.637.649","91.373.320","52.762.914","59.824.835","51.760.948","52.045.864","61.804.782","60.387.569","57.990.190","68.327.772","64.673.334","63.316.038"
"Esteio","4307708","-29.852000000000","-51.184100000000","58.598.610","62.100.594","62.541.731","69.094.484","65.690.564","66.019.918","58.052.190","54.927.121","50.919.108","59.206.631","53.279.236","55.364.348"
"Estrela","4307807","-29.501600000000","-51.960500000000","6.903.671","9.408.022","10.731.982","11.718.079","10.562.713","9.544.714","11.519.609","12.407.763","11.741.723","10.598.622","15.345.329","21.108.425"
"Fagundes Varela","4307864","-28.879400000000","-51.701400000000","-","-","-","-","-","-","-","10.940","17.309","54.519","73.006","15.748"
"Farroupilha","4307906","-29.222700000000","-51.341900000000","57.445.191","66.173.524","64.011.768","65.032.388","75.228.720","74.506.205","73.076.023","76.849.068","80.094.292","77.383.571","74.487.713","92.995.750"
"Faxinal do Soturno","4308003","-29.578800000000","-53.448399999990","4.731.174","46.284.841","4.837.567","4.893","10.036","7.900","7.439","9.264","7.589","4.222","2.858","4.363"
"Fazenda Vilanova","4308078","-29.588500000000","-51.821700000000","-","-","-","-","-","134.749","475.663","259.608","218.556","162.962","269.006","284.095"
"Feliz","4308102","-29.452700000000","-51.303199999990","15.585.110","23.646.037","15.908.245","14.654.004","13.949.288","10.563.291","7.660.968","9.182.056","8.819.679","13.731.568","13.019.106","14.181.218"
"Flores da Cunha","4308201","-29.026199999990","-51.187500000000","22.992.757","31.374.419","28.288.658","34.727.452","31.355.739","35.735.326","43.854.769","40.861.874","44.257.976","37.240.145","32.167.929","47.645.454"
"Fontoura Xavier","4308300","-28.981600000000","-52.344499999990","-","-","-","-","-","-","-","-","10.792","40.363","441.644","689.421"
"Frederico Westphalen","4308508","-27.358599999990","-53.395800000000","35.632.966","48.915.132","26.212.709","25.107.269","44.077.868","33.399.702","6.381.421","5.944.925","7.107.108","4.805.485","1.024.143","16.866.880"
"Garibaldi","4308607","-29.259000000000","-51.535200000000","62.525.404","67.185.958","54.956.745","54.961.006","53.841.897","59.576.092","64.271.091","54.480.786","41.604.180","63.366.721","64.015.054","86.400.354"
"Garruchos","4308656","-28.194400000000","-55.638300000000","343.173.663","163.040.910","-","-","-","-","-","-","2.500","-","-","-"
"Gaurama","4308706","-27.585599999990","-52.091500000000","1.284.916","2.108.268","1.165.454","951.783","1.065.579","412.042","550.376","655.572","629.908","823.971","351.015","614.424"
"Gentil","4308854","-28.431600000000","-52.033700000000","-","-","-","-","-","-","-","-","-","-","-","1.926"
